Date,Period,Demand (MW),Solar (MW),TCL (MW),USEP ($/MWh),EHEUR ($/MWh),LCP ($/MWh),RUSEP ($/MWh),MAP ($/MWh),MAPT ($/MWh),TPC Applied,Last Updated
17-Jun-2026,00:00-00:30,6627.276,0.0,0.0,175.96,-0.88,0.0,175.96,182.9,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,00:30-01:00,6503.17,0.0,0.0,175.45,-0.87,0.0,175.45,182.94,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,01:00-01:30,6440.901,0.0,0.0,175.92,-0.87,0.0,175.92,183.0,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,01:30-02:00,6371.6,0.0,0.0,175.93,-0.86,0.0,175.93,183.04,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,02:00-02:30,6304.937,0.0,0.0,173.49,-0.84,0.0,173.49,183.01,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,02:30-03:00,6252.643,0.0,0.0,173.45,-0.83,0.0,173.45,182.96,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,03:00-03:30,6210.905,0.0,0.0,173.49,-0.81,0.0,173.49,182.9,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,03:30-04:00,6183.863,0.0,0.0,172.96,-0.79,0.0,172.96,182.9,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,04:00-04:30,6185.294,0.0,0.0,172.99,-0.79,0.0,172.99,182.82,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,04:30-05:00,6211.079,0.0,0.0,174.04,-0.8,0.0,174.04,182.77,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,05:00-05:30,6279.431,0.0,0.0,176.16,-0.81,0.0,176.16,182.65,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,05:30-06:00,6410.231,0.0,0.0,225.91,-1.04,0.0,225.91,182.65,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,06:00-06:30,6594.395,0.0,0.0,176.19,-0.83,0.0,176.19,182.51,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,06:30-07:00,6835.932,0.0,0.0,225.35,-1.09,0.0,225.35,182.5,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,07:00-07:30,7072.002,4.16,0.0,234.22,-1.18,0.0,234.22,183.58,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,07:30-08:00,7277.467,21.02,0.0,245.76,-1.25,0.0,245.76,183.73,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,08:00-08:30,7368.964,111.1,0.0,237.69,-1.22,0.0,237.69,183.72,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,08:30-09:00,7387.468,231.46,0.0,225.99,-1.13,0.0,225.99,183.34,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,09:00-09:30,7334.413,396.84,0.0,193.89,-0.98,0.0,193.89,182.67,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,09:30-10:00,7231.643,601.59,0.0,176.3,-0.87,0.0,176.3,182.67,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,10:00-10:30,7050.164,848.81,0.0,173.12,-0.85,0.0,173.12,182.65,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,10:30-11:00,6947.001,941.65,0.0,166.03,-0.83,0.0,166.03,182.49,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,11:00-11:30,6906.61,957.09,0.0,163.79,-0.84,0.0,163.79,182.35,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,11:30-12:00,6869.976,961.64,0.0,147.18,-0.72,0.0,147.18,181.98,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,12:00-12:30,6895.542,918.43,0.0,147.39,-0.7,0.0,147.39,181.64,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,12:30-13:00,7330.208,549.39,0.0,253.66,-1.26,0.0,253.66,183.46,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,13:00-13:30,7271.199,622.61,0.0,235.9,-1.17,0.0,235.9,184.9,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,13:30-14:00,7110.38,782.89,0.0,174.0,-0.82,0.0,174.0,185.06,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,14:00-14:30,6966.663,913.53,0.0,155.65,-0.77,0.0,155.65,184.84,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,14:30-15:00,7210.814,627.94,0.0,176.72,-0.86,0.0,176.72,184.97,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,15:00-15:30,7580.92,205.66,0.0,280.98,-1.42,0.0,280.98,187.22,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,15:30-16:00,7417.059,373.01,0.0,244.26,-1.22,0.0,244.26,188.75,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,16:00-16:30,7362.305,410.83,0.0,176.75,-0.89,0.0,176.75,188.78,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,16:30-17:00,7386.121,368.51,0.0,171.08,-0.87,0.0,171.08,188.55,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,17:00-17:30,7314.115,415.14,0.0,158.8,-0.8,0.0,158.8,188.19,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,17:30-18:00,7413.028,206.62,0.0,160.81,-0.8,0.0,160.81,187.86,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,18:00-18:30,7379.352,150.68,0.0,159.41,-0.79,0.0,159.41,187.51,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,18:30-19:00,7459.672,88.97,0.0,161.1,-0.81,0.0,161.1,187.19,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,19:00-19:30,7557.76,8.52,0.0,170.59,-0.85,0.0,170.59,185.79,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,19:30-20:00,7533.327,0.0,0.0,170.59,-0.87,0.0,170.59,185.67,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,20:00-20:30,7482.201,0.0,0.0,157.64,-0.8,0.0,157.64,185.28,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,20:30-21:00,7455.686,0.0,0.0,160.58,-0.84,0.0,160.58,184.95,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,21:00-21:30,7392.313,0.0,0.0,161.02,-0.83,0.0,161.02,184.63,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,21:30-22:00,7242.816,0.0,0.0,161.0,-0.82,0.0,161.0,184.31,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,22:00-22:30,7095.942,0.0,0.0,170.59,-0.84,0.0,170.59,184.2,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,22:30-23:00,6951.092,0.0,0.0,160.5,-0.78,0.0,160.5,183.93,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,23:00-23:30,6806.405,0.0,0.0,170.85,-0.82,0.0,170.85,183.83,628.45,No,17 Jun 2026 11:31:30 PM
17-Jun-2026,23:30-00:00,6707.92,0.0,0.0,200.87,-0.96,0.0,200.87,184.42,628.45,No,17 Jun 2026 11:31:30 PM
